title,year,genre,users_rating,votes,languages,directors,runtime
Beth,2002,Drama,6.1,19,Indonesian,Aria Kusumadewa,84 min
Ca-bau-kan,2002,Drama,7.4,98,Indonesian,Nia Di Nata,120 min
"Eliana, Eliana",2002,Drama,6.8,132,Indonesian,Riri Riza,105 min
Kafir,2002,Horror,4.2,37,Indonesian,Mardaly Sjarif,
Titik Hitam,2002,Drama,4.7,18,Indonesian,Sentot Sahid,
What's Up with Love?,2002,Drama,7.8,"2,445",Indonesian,Rudy Soedjarwo,112 min
Jakarta Project,2001,,4.9,15,Indonesian,Indra Yudhistira,93 min
Joshua Oh Joshua,2001,Comedy,6.4,110,Indonesian,Edward Sirait,90 min
Marsinah,2001,Drama,7.5,21,Indonesian,Slamet Rahardjo,
Pasir Berbisik,2001,Drama,7.2,189,Indonesian,Nan Triveni Achnas,106 min
The Uninvited,2001,Horror,6.6,326,Indonesian,Rizal Mantovani,102 min
Tragedi,2001,Action,4.1,7,Indonesian,Rudy Soedjarwo,120 min
Viva Indonesia,2001,,7.2,8,Indonesian,Ravi L. Bharwani,90 min
Petualangan Sherina,2000,Adventure,7.8,640,Indonesian,Riri Riza,112 min
Reinkarnasi,2000,Action,6.3,6,Indonesian,Dede Yusuf,
Telegram,2000,Drama,6.1,45,Indonesian,Slamet Rahardjo,82 min
Kuldesak,1999,Action,6.8,105,Indonesian,Nan Triveni Achnas,
Fatahillah,1998,Action,7.3,12,Indonesian,Imam Tantowi,
Leaf on a Pillow,1998,Crime,7.6,226,Indonesian,Garin Nugroho,
Tropic of Emerald,1997,War,6.9,116,Japanese,Orlow Seunke,
Bergairah di Puncak,1996,Drama,4.6,17,Indonesian,,
Bisikan Nafsu,1996,Horror,6.6,15,Indonesian,Steady Rimba,51 min
Cinta dan Nafsu,1996,Drama,5.7,10,Indonesian,Emil G. Hampp,
Hukuman Zinah,1996,Horror,6.8,17,Indonesian,Emil G. Hampp,60 min
Lampiasan nafsu,1996,Drama,7,5,Indonesian,Emil G. Hampp,78 min
Selingkuh,1996,Drama,6.4,7,Indonesian,Emil G. Hampp,71 min
Bulan Tertusuk Ilalang,1995,Drama,7.4,42,Indonesian,Garin Nugroho,125 min
Gairah Malam 2,1995,Drama,5.8,13,Indonesian,Steady Rimba,73 min
Permainan Binal,1995,Drama,8,11,Indonesian,Yonky Souhoka,100 min
Ruby Fruit,1995,Fantasy,6.3,6,Indonesian,Takumi Kimizuka,95 min
Without Mercy,1995,Action,5.1,88,English,Robert Chappell,90 min
Catatan Harian Tante Sonya,1994,Drama,5.4,5,Indonesian,Abrar Siregar,
Dewi Angin Angin,1994,Fantasy,4.8,13,Indonesian,Ackyl Anwari,
Gaun Merah,1994,Horror,6.2,6,Indonesian,H. Tjut Djalil,84 min
Godaan Cinta,1994,Drama,6.6,5,Indonesian,Atok Suharto,60 min
Kenikmatan Tabu,1994,Drama,2.4,5,Indonesian,Ackyl Anwari,
Pencet Sana Pencet Sini,1994,Comedy,6.5,25,Indonesian,Arizal,83 min
Ranjang yang Ternoda,1994,Drama,5.6,14,Indonesian,Norman Benny,
Saya Duluan Dong,1994,,5.9,18,Indonesian,Arizal,83 min
Setetes Noda Manis,1994,Drama,7.5,8,Indonesian,Maman Firmansyah,
Si Kabayan Mencari Jodoh,1994,Comedy,4.7,6,Indonesian,Maman Firmansyah,85 min
Surat Untuk Bidadari,1994,Drama,6.8,40,Indonesian,Garin Nugroho,118 min
Wanita Dalam Gairah,1994,Crime,6.6,10,Indonesian,H. Tjut Djalil,68 min
Badut-Badut Kota,1993,Comedy,7.9,7,Indonesian,Ucik Supra,
Gairah Malam,1993,Drama,5.1,14,Indonesian,,60 min
Mumpung Ada Kesempatan,1993,,5,5,Indonesian,Arizal,85 min
Oeroeg,1993,Drama,6.7,372,Dutch,Hans Hylkema,
